DATE,loan_growth,chargeoff_rate,gdp_growth,unemployment_rate,loan_growth_lag1,chargeoff_lag1
2008-03-31,3.6399587236814135,0.71,-0.42767755900321447,5.0,4.944290964399833,0.65
2008-06-30,1.8677658897470195,0.84,0.5936625931315831,5.333333333333333,3.6399587236814135,0.71
2008-09-30,2.119793988129448,1.03,-0.5266423802783748,6.0,1.8677658897470195,0.84
2008-12-31,1.8636745502658592,1.27,-2.2133412739485436,6.866666666666667,2.119793988129448,1.03
2009-03-31,-3.1388932791502455,1.94,-1.1413631359902254,8.266666666666667,1.8636745502658592,1.27
2009-06-30,-5.067950975735158,2.43,-0.178810721762801,9.299999999999999,-3.1388932791502455,1.94
2009-09-30,-7.1420479651642665,2.57,0.3505771547139602,9.633333333333333,-5.067950975735158,2.43
2009-12-31,-5.5150136857209375,2.27,1.0751135379244658,9.933333333333334,-7.1420479651642665,2.57
2010-03-31,-4.51221043259844,2.1,0.483331022067901,9.833333333333334,-5.5150136857209375,2.27
2010-06-30,-1.6329936485353969,1.85,0.9629349822608546,9.633333333333333,-4.51221043259844,2.1
2010-09-30,-0.3721242271264025,1.71,0.7681272705003295,9.466666666666667,-1.6329936485353969,1.85
2010-12-31,0.5864139472868679,1.29,0.523736364445071,9.5,-0.3721242271264025,1.71
2011-03-31,1.1454133361337604,1.17,-0.23748667360496967,9.033333333333333,0.5864139472868679,1.29
2011-06-30,2.228130818210605,0.87,0.6743037468666557,9.066666666666666,1.1454133361337604,1.17
2011-09-30,2.8745157687589895,0.74,-0.0223152255784953,9.0,2.228130818210605,0.87
2011-12-31,2.676503007734876,0.68,1.1167896811464573,8.633333333333333,2.8745157687589895,0.74
2012-03-31,3.5002522783529777,0.57,0.8350941818790147,8.266666666666667,2.676503007734876,0.68
2012-06-30,3.4554431351493164,0.55,0.4453416266322563,8.2,3.5002522783529777,0.57
2012-09-30,2.5675136562480105,0.48,0.14392437648620415,8.033333333333333,3.4554431351493164,0.55
2012-12-31,2.7680904111508475,0.35,0.11557374157504796,7.8,2.5675136562480105,0.48
2013-03-31,1.6542851618131849,0.36,0.9817259265515688,7.733333333333333,2.7680904111508475,0.35
2013-06-30,1.4939745667755133,0.31,0.26727882651371715,7.533333333333334,1.6542851618131849,0.36
2013-09-30,1.192303894725022,0.27,0.8477896552497199,7.233333333333333,1.4939745667755133,0.31
2013-12-31,2.2044706185645246,0.25,0.8679640238263175,6.933333333333334,1.192303894725022,0.27
2014-03-31,3.6783498803714565,0.23,-0.34569281496601434,6.666666666666667,2.2044706185645246,0.25
2014-06-30,2.6276495800678923,0.21,1.2835690229149321,6.2,3.6783498803714565,0.23
2014-09-30,2.876332508720303,0.2,1.2080648325781596,6.066666666666666,2.6276495800678923,0.21
2014-12-31,2.712031222700606,0.22,0.5044586015433339,5.7,2.876332508720303,0.2
2015-03-31,3.34261301293024,0.17,0.8964547876924911,5.533333333333334,2.712031222700606,0.22
2015-06-30,2.515493919409728,0.21,0.6174946582536478,5.433333333333334,3.34261301293024,0.17
2015-09-30,1.8544843173236458,0.25,0.39944621156902116,5.1000000000000005,2.515493919409728,0.21
2015-12-31,1.9391590019670168,0.31,0.18430917271050618,5.033333333333333,1.8544843173236458,0.25
2016-03-31,3.2629414282459024,0.44,0.5778466518471248,4.8999999999999995,1.9391590019670168,0.31
2016-06-30,1.6301045211140064,0.44,0.32060956626729364,4.933333333333334,3.2629414282459024,0.44
2016-09-30,0.9480163568193589,0.45,0.7068859191104337,4.8999999999999995,1.6301045211140064,0.44
2016-12-31,0.6415877649362578,0.41,0.5527685286210726,4.766666666666667,0.9480163568193589,0.45
2017-03-31,-0.9065017529811037,0.34,0.48570873310360696,4.566666666666666,0.6415877649362578,0.41
2017-06-30,0.39040055694483655,0.37,0.5583111012978037,4.366666666666667,-0.9065017529811037,0.34
2017-09-30,1.4363409114151793,0.34,0.785431525684821,4.333333333333333,0.39040055694483655,0.37
2017-12-31,0.11654217004188894,0.36,1.1207427769393874,4.166666666666667,1.4363409114151793,0.34
2018-03-31,0.8451579634724204,0.3,0.8101194549169577,4.033333333333333,0.11654217004188894,0.36
2018-06-30,3.1477516122824234,0.27,0.5294212303768475,3.9333333333333336,0.8451579634724204,0.3
2018-09-30,1.5740209715439768,0.26,0.621760482522582,3.766666666666667,3.1477516122824234,0.27
2018-12-31,3.434144920576987,0.27,0.14154399831838305,3.8333333333333335,1.5740209715439768,0.26
2019-03-31,1.4599592741911138,0.3,0.6223772907267389,3.8666666666666667,3.434144920576987,0.27
2019-06-30,0.052776796269071724,0.31,0.8316777932895647,3.6333333333333333,1.4599592741911138,0.3
2019-09-30,1.3452364153747176,0.44,1.1632102580909631,3.6,0.052776796269071724,0.31
2019-12-31,-0.5430081481864413,0.36,0.6795635968053659,3.6,1.3452364153747176,0.44
2020-03-31,8.404309764194107,0.56,-1.3250619707966038,3.8333333333333335,-0.5430081481864413,0.36
2020-06-30,13.170765537804474,0.59,-8.204320604026982,13.0,8.404309764194107,0.56
2020-09-30,-5.816860884666841,0.51,7.4757496362447995,8.799999999999999,13.170765537804474,0.59
2020-12-31,-6.332858323188795,0.41,1.127138965704333,6.766666666666667,-5.816860884666841,0.51
2021-03-31,-0.14855322325812992,0.29,1.386164653473898,6.233333333333333,-6.332858323188795,0.41
2021-06-30,-4.294658802726126,0.21,1.6875713541763204,5.933333333333334,-0.14855322325812992,0.29
2021-09-30,-2.507742851852157,0.16,0.8216679141918704,5.066666666666666,-4.294658802726126,0.21
2021-12-31,2.3113586331813707,0.12,1.701202308971439,4.166666666666667,-2.507742851852157,0.16
2022-03-31,2.6233076889432994,0.12,-0.2551237912953752,3.8666666666666667,2.3113586331813707,0.12
2022-06-30,4.954787462843058,0.14,0.1564245950852694,3.6333333333333333,2.6233076889432994,0.12
2022-09-30,2.949853549397563,0.16,0.719306332529257,3.533333333333333,4.954787462843058,0.14
2022-12-31,1.8126656942198949,0.23,0.6878691350323152,3.5666666666666664,2.949853549397563,0.16
2023-03-31,-0.008695835702710042,0.28,0.7212436699248315,3.533333333333333,1.8126656942198949,0.23
2023-06-30,-1.5040362572646515,0.31,0.6259090548015322,3.533333333333333,-0.008695835702710042,0.28
2023-09-30,0.1726010269328171,0.39,1.1470027396091709,3.6333333333333333,-1.5040362572646515,0.31
2023-12-31,-0.006853406045870258,0.41,0.8405149026469161,3.8000000000000003,0.1726010269328171,0.39
2024-03-31,-0.3341110466724473,0.44,0.20964144146446984,3.8333333333333335,-0.006853406045870258,0.41
2024-06-30,0.5120856598451518,0.48,0.8815888542736516,3.9666666666666663,-0.3341110466724473,0.44
2024-09-30,0.44753537300934454,0.55,0.8213953149049047,4.166666666666667,0.5120856598451518,0.48
2024-12-31,-0.4421874660799574,0.5,0.45882049283303417,4.133333333333333,0.44753537300934454,0.55
2025-03-31,-3.321437617727252,0.56,-0.16264860564216832,4.133333333333334,-0.4421874660799574,0.5
2025-06-30,0.3734293248885301,0.58,0.9415531607956495,4.2,-3.321437617727252,0.56
